dtDateTime,Textbox34,NewToll,Cnt,Textbox11
1/1/2014  05:00,CLW,0.30,4,73
1/1/2014  05:00,FSE,0.35,3,68
1/1/2014  05:05,CLW,0.35,2,69
1/1/2014  05:05,FSE,0.35,2,70
1/1/2014  05:10,CLW,0.35,3,74
1/1/2014  05:10,FSE,0.30,3,73
1/1/2014  05:15,CLW,0.30,2,73
1/1/2014  05:15,FSE,0.30,2,70
1/1/2014  05:20,CLW,0.30,2,76
1/1/2014  05:20,FSE,0.35,3,69
1/1/2014  05:25,CLW,0.30,2,71
1/1/2014  05:25,FSE,0.35,3,75
1/1/2014  05:30,CLW,0.30,3,70
1/1/2014  05:30,FSE,0.50,2,75
1/1/2014  05:35,CLW,0.30,1,73
1/1/2014  05:35,FSE,0.50,2,74
1/1/2014  05:40,CLW,0.30,3,76
1/1/2014  05:40,FSE,1.00,1,61
1/1/2014  05:45,CLW,0.30,2,71
1/1/2014  05:45,FSE,1.00,3,77
1/1/2014  05:50,CLW,0.30,3,70
1/1/2014  05:50,FSE,0.50,2,78
1/1/2014  05:55,CLW,0.30,1,73
1/1/2014  05:55,FSE,0.50,1,79
1/1/2014  06:00,CLW,0.50,2,73
1/1/2014  06:00,FSE,0.50,2,70
1/1/2014  06:05,CLW,0.50,3,77
1/1/2014  06:05,FSE,0.60,4,68
1/1/2014  06:10,CLW,0.50,2,76
1/1/2014  06:10,FSE,0.70,1,66
1/1/2014  06:15,CLW,0.50,1,77
1/1/2014  06:15,FSE,0.70,1,69
1/1/2014  06:20,CLW,0.50,2,75
1/1/2014  06:20,FSE,0.50,3,73
1/1/2014  06:25,CLW,0.70,2,66
1/1/2014  06:25,FSE,0.55,2,69
1/1/2014  06:30,CLW,0.70,2,72
1/1/2014  06:30,FSE,0.55,3,71
1/1/2014  06:35,CLW,0.50,3,74
1/1/2014  06:35,FSE,0.50,4,73
1/1/2014  06:40,CLW,0.50,2,74
1/1/2014  06:40,FSE,0.55,4,69
1/1/2014  06:45,CLW,0.50,5,73
1/1/2014  06:45,FSE,0.55,2,75
1/1/2014  06:50,CLW,0.50,3,73
1/1/2014  06:50,FSE,0.50,1,73
1/1/2014  06:55,CLW,0.50,2,72
1/1/2014  06:55,FSE,0.65,3,67
1/1/2014  07:00,CLW,0.50,2,70
1/1/2014  07:00,FSE,0.65,3,67
1/1/2014  07:05,CLW,0.50,1,79
1/1/2014  07:05,FSE,0.65,2,69
1/1/2014  07:10,CLW,1.80,0,0
1/1/2014  07:10,FSE,0.50,3,70
1/1/2014  07:15,CLW,1.80,1,74
1/1/2014  07:15,FSE,0.60,4,68
1/1/2014  07:20,CLW,1.55,1,73
1/1/2014  07:20,FSE,0.60,3,74
1/1/2014  07:25,CLW,1.30,3,76
1/1/2014  07:25,FSE,0.50,5,73
1/1/2014  07:30,CLW,1.05,3,73
1/1/2014  07:30,FSE,0.50,4,70
1/1/2014  07:35,CLW,0.80,2,71
1/1/2014  07:35,FSE,0.50,3,73
1/1/2014  07:40,CLW,0.55,3,75
1/1/2014  07:40,FSE,0.50,3,71
1/1/2014  07:45,CLW,0.50,3,72
1/1/2014  07:45,FSE,0.60,2,68
1/1/2014  07:50,CLW,0.50,2,73
1/1/2014  07:50,FSE,0.60,3,78
1/1/2014  07:55,CLW,0.50,3,73
1/1/2014  07:55,FSE,0.50,4,73
1/1/2014  08:00,CLW,1.00,2,61
1/1/2014  08:00,FSE,0.50,6,72
1/1/2014  08:05,CLW,1.00,4,76
1/1/2014  08:05,FSE,0.50,4,71
1/1/2014  08:10,CLW,0.75,4,72
1/1/2014  08:10,FSE,0.50,4,75
1/1/2014  08:15,CLW,0.50,4,70
1/1/2014  08:15,FSE,0.50,3,74
1/1/2014  08:20,CLW,0.50,3,76
1/1/2014  08:20,FSE,0.50,5,70
1/1/2014  08:25,CLW,0.50,1,72
1/1/2014  08:25,FSE,0.50,5,70
1/1/2014  08:30,CLW,0.50,1,70
1/1/2014  08:30,FSE,0.50,8,75
1/1/2014  08:35,CLW,0.55,4,69
1/1/2014  08:35,FSE,0.50,5,71
1/1/2014  08:40,CLW,0.55,3,71
1/1/2014  08:40,FSE,0.65,3,67
1/1/2014  08:45,CLW,0.50,4,73
1/1/2014  08:45,FSE,0.65,5,71
1/1/2014  08:50,CLW,0.50,3,76
1/1/2014  08:50,FSE,0.50,7,74
1/1/2014  08:55,CLW,0.50,5,75
1/1/2014  08:55,FSE,0.50,5,72
1/1/2014  09:00,CLW,0.50,3,73
1/1/2014  09:00,FSE,,,
1/1/2014  09:05,CLW,0.50,3,75
1/1/2014  09:05,FSE,,,
1/1/2014  09:10,CLW,0.50,3,78
1/1/2014  09:10,FSE,,,
1/1/2014  09:15,CLW,0.50,4,70
1/1/2014  09:15,FSE,,,
1/1/2014  09:20,CLW,0.50,3,74
1/1/2014  09:20,FSE,,,
1/1/2014  09:25,CLW,0.50,7,70
1/1/2014  09:25,FSE,,,
1/1/2014  09:30,CLW,0.60,5,68
1/1/2014  09:30,FSE,,,
1/1/2014  09:35,CLW,0.60,7,72
1/1/2014  09:35,FSE,,,
1/1/2014  09:40,CLW,0.50,9,72
1/1/2014  09:40,FSE,,,
1/1/2014  09:45,CLW,0.50,9,72
1/1/2014  09:45,FSE,,,
1/1/2014  09:50,CLW,0.50,11,73
1/1/2014  09:50,FSE,,,
1/1/2014  09:55,CLW,0.50,7,74
1/1/2014  09:55,FSE,,,
1/1/2014  15:00,CLW,0.50,30,75
1/1/2014  15:00,FSE,0.50,44,71
1/1/2014  15:05,CLW,0.50,28,74
1/1/2014  15:05,FSE,0.55,36,69
1/1/2014  15:10,CLW,0.50,26,73
1/1/2014  15:10,FSE,0.55,46,71
1/1/2014  15:15,CLW,0.50,23,73
1/1/2014  15:15,FSE,0.50,35,70
1/1/2014  15:20,CLW,0.50,16,71
1/1/2014  15:20,FSE,0.50,39,71
1/1/2014  15:25,CLW,0.50,19,73
1/1/2014  15:25,FSE,0.50,42,71
1/1/2014  15:30,CLW,0.50,21,72
1/1/2014  15:30,FSE,0.50,39,70
1/1/2014  15:35,CLW,0.50,27,72
1/1/2014  15:35,FSE,0.50,33,70
1/1/2014  15:40,CLW,0.50,26,74
1/1/2014  15:40,FSE,0.50,36,71
1/1/2014  15:45,CLW,0.50,20,73
1/1/2014  15:45,FSE,0.55,42,69
1/1/2014  15:50,CLW,0.50,30,73
1/1/2014  15:50,FSE,0.55,44,70
1/1/2014  15:55,CLW,0.50,21,73
1/1/2014  15:55,FSE,0.50,44,70
1/1/2014  16:00,CLW,0.50,27,72
1/1/2014  16:00,FSE,0.50,42,70
1/1/2014  16:05,CLW,0.50,22,72
1/1/2014  16:05,FSE,0.50,30,71
1/1/2014  16:10,CLW,0.50,25,72
1/1/2014  16:10,FSE,0.50,40,70
1/1/2014  16:15,CLW,0.50,25,74
1/1/2014  16:15,FSE,0.50,36,70
1/1/2014  16:20,CLW,0.50,22,72
1/1/2014  16:20,FSE,0.50,35,71
1/1/2014  16:25,CLW,0.50,22,73
1/1/2014  16:25,FSE,0.50,38,70
1/1/2014  16:30,CLW,0.50,26,74
1/1/2014  16:30,FSE,0.55,48,69
1/1/2014  16:35,CLW,0.50,24,71
1/1/2014  16:35,FSE,0.55,46,69
1/1/2014  16:40,CLW,0.50,28,72
1/1/2014  16:40,FSE,0.55,44,69
1/1/2014  16:45,CLW,0.50,17,74
1/1/2014  16:45,FSE,0.55,39,70
1/1/2014  16:50,CLW,0.50,26,72
1/1/2014  16:50,FSE,0.50,37,70
1/1/2014  16:55,CLW,0.50,32,70
1/1/2014  16:55,FSE,0.60,37,67
1/1/2014  17:00,CLW,0.50,28,70
1/1/2014  17:00,FSE,0.60,37,70
1/1/2014  17:05,CLW,0.50,27,70
1/1/2014  17:05,FSE,0.55,36,69
1/1/2014  17:10,CLW,0.50,29,71
1/1/2014  17:10,FSE,0.50,34,70
1/1/2014  17:15,CLW,0.50,32,73
1/1/2014  17:15,FSE,0.50,34,70
1/1/2014  17:20,CLW,0.50,26,70
1/1/2014  17:20,FSE,0.50,35,70
1/1/2014  17:25,CLW,0.50,23,70
1/1/2014  17:25,FSE,0.50,43,71
1/1/2014  17:30,CLW,0.50,23,70
1/1/2014  17:30,FSE,0.60,34,67
1/1/2014  17:35,CLW,0.50,29,70
1/1/2014  17:35,FSE,0.60,35,68
1/1/2014  17:40,CLW,0.50,29,70
1/1/2014  17:40,FSE,0.60,41,70
1/1/2014  17:45,CLW,0.55,26,69
1/1/2014  17:45,FSE,0.50,38,70
1/1/2014  17:50,CLW,0.55,21,70
1/1/2014  17:50,FSE,0.65,33,66
1/1/2014  17:55,CLW,0.50,26,71
1/1/2014  17:55,FSE,0.65,46,66
1/1/2014  18:00,CLW,0.50,22,71
1/1/2014  18:00,FSE,0.65,36,67
1/1/2014  18:05,CLW,0.55,23,69
1/1/2014  18:05,FSE,0.60,41,68
1/1/2014  18:10,CLW,0.55,27,70
1/1/2014  18:10,FSE,0.55,32,69
1/1/2014  18:15,CLW,0.55,30,69
1/1/2014  18:15,FSE,0.60,39,68
1/1/2014  18:20,CLW,0.50,26,71
1/1/2014  18:20,FSE,0.60,35,68
1/1/2014  18:25,CLW,0.55,26,68
1/1/2014  18:25,FSE,0.60,31,68
1/1/2014  18:30,CLW,0.55,23,70
1/1/2014  18:30,FSE,0.60,29,69
1/1/2014  18:35,CLW,0.50,19,71
1/1/2014  18:35,FSE,0.55,37,69
1/1/2014  18:40,CLW,0.50,27,71
1/1/2014  18:40,FSE,0.60,34,67
1/1/2014  18:45,CLW,0.50,25,70
1/1/2014  18:45,FSE,0.60,36,68
1/1/2014  18:50,CLW,0.50,19,71
1/1/2014  18:50,FSE,0.60,31,68
1/1/2014  18:55,CLW,0.50,23,70
